time,u1,u2
0.0,1.0,0.5
0.10002997453639051,0.9048102964233645,0.45240514821168226
0.34211825037619176,0.7102642271640408,0.3551321135820204
0.6554651583462984,0.5192005773184625,0.25960028865923124
1.031379239718996,0.35651512548318043,0.17825756274159021
1.4711233988742436,0.22966780111258414,0.11483390055629207
1.9662460771860812,0.139982095626425,0.0699910478132125
2.512142569043872,0.08109527052997209,0.040547635264986046
3.101264209743383,0.04499333940257996,0.02249666970128998
3.728048709037804,0.024040693611049595,0.012020346805524797
4.3868674222330215,0.012440473707413672,0.006220236853706836
5.073889762178765,0.006258672496956002,0.003129336248478001
5.786906327295787,0.003067914281772853,0.0015339571408864265
6.526666776245849,0.0014641845581150545,0.0007320922790575272
7.297850474849696,0.0006771908753817357,0.00033859543769086784
8.110407178905135,0.00030052153244658253,0.00015026076622329126
8.980307748060834,0.00012594237243728553,6.297118621864276e-5
9.929891013969904,4.8746915150274155e-5,2.4373457575137077e-5
10.0,4.544636913665666e-5,2.272318456832833e-5
